request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_117,151.75,affordable_later,wait,2026-07-13:880,2026-07-13,none,Pay EUR 880 in full on 2026-07-13. Paying earlier would take the balance below the EUR 1000 minimum.
request_118,259.71,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-12,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 203500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_120,2871837.53,affordable_later,wait,2026-04-14:7714000,2026-04-14,none,Pay IDR 7714000 in full on 2026-04-14. Paying earlier would take the balance below the IDR 20050300 minimum.
request_121,75.52,affordable_later,wait,2024-03-13:633.6,2024-03-13,none,Pay USD 633.6 in full on 2024-03-13. Paying earlier would take the balance below the USD 800 minimum.
request_122,11705181.77,not_affordable,not_recommended,none,,none,"The requested amount of IDR 20558000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_123,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 18091200 minimum protected.
request_124,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 3104.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_125,4017.63,affordable_later,wait,2025-11-12:6468,2025-11-12,none,Pay ZAR 6468 in full on 2025-11-12. Paying earlier would take the balance below the ZAR 11300 minimum.
request_126,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 159600 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_127,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 23980 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_128,17659.97,affordable_later,wait,2025-02-12:25168,2025-02-12,none,Pay ZAR 25168 in full on 2025-02-12. Paying earlier would take the balance below the ZAR 42600 minimum.
request_129,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2668.8 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_130,58.56,affordable_later,wait,2024-12-12:1978.8,2024-12-12,none,Pay USD 1978.8 in full on 2024-12-12. Paying earlier would take the balance below the USD 1400 minimum.
request_131,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 1855.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_132,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 379.86 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_133,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 15770000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_134,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 21831000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_135,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 304.8 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_136,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 560.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_137,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 80100 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_138,196.74,affordable_with_plan,partial_payment,2026-04-07:196.74|2026-04-14:1060.2,2026-04-14,none,"The full amount of EUR 1256.94 is not safely payable today. However, EUR 196.74 can be paid today and the remaining amount can be paid on 2026-04-14 within the requested completion date."
request_139,1571.39,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-12,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1500 available."
request_140,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 62832 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_141,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 171600 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_142,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 1263.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_143,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 12584 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_144,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 233.34 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_145,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 217400 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_146,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 449400 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_147,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1129.7 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_148,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 22242 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_149,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 36652 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_150,87.82,not_affordable,not_recommended,none,2026-01-12,none,"The requested amount of EUR 496.1 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_151,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 26999000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_152,2299.66,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-12,none,"Use 3 installments of ZAR 4812.43, starting 2025-02-12. This leaves at least ZAR 11900 available."
request_153,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2830.8 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_154,1462.39,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-12,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1300 available."
request_155,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 112500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_156,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 43076 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_157,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 23503000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_158,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 242600 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_159,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 13398 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_160,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1246.3 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_161,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 21204000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_162,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 83923000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_163,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 19304000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_164,767547.23,not_affordable,not_recommended,none,2025-02-12,none,"The requested amount of IDR 27018000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This keeps the INR 95000 minimum available over the next 90 days.
request_166,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2907.6 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_167,3480.58,affordable_later,wait,2025-05-14:43802,2025-05-14,none,Pay ZAR 43802 in full on 2025-05-14. Paying earlier would take the balance below the ZAR 31200 minimum.
request_168,188.27,affordable_with_plan,partial_payment,2026-01-07:188.27|2026-01-12:49191.73,2026-01-12,none,"The full amount of INR 49380 is not safely payable today. However, INR 188.27 can be paid today and the remaining amount can be paid on 2026-01-12 within the requested completion date."
request_169,30943.23,affordable_later,wait,2024-03-13:41976,2024-03-13,none,Pay ZAR 41976 in full on 2024-03-13. Paying earlier would take the balance below the ZAR 18700 minimum.
request_170,1197571.32,not_affordable,not_recommended,none,2025-08-12,none,"The requested amount of IDR 36936000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_171,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1878.8 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_172,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 10200 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_173,51076.01,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-12,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 79100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This keeps the EUR 1700 minimum available over the next 90 days.
request_176,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1239.7 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_177,522.01,affordable_later,wait,2026-01-12:1017.6,2026-01-12,none,Pay USD 1017.6 in full on 2026-01-12. Paying earlier would take the balance below the USD 1300 minimum.
request_178,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2938.1 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_179,0,not_affordable,not_recommended,none,,none,"The requested amount of IDR 41648000 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_180,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 66500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_181,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 5059.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_182,37916.46,affordable_later,wait,2025-08-12:65714,2025-08-12,none,Pay ZAR 65714 in full on 2025-08-12. Paying earlier would take the balance below the ZAR 31100 minimum.
request_183,15837033.82,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-14,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11878300 available."
request_184,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 251900 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_185,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1257.3 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_186,0,not_affordable,not_recommended,none,,none,"The requested amount of ZAR 26554 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_187,0,not_affordable,not_recommended,none,,none,"The requested amount of INR 187500 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_188,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2464 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_189,134.09,affordable_with_plan,partial_payment,2026-07-04:134.09|2026-07-13:354.31,2026-07-13,none,"The full amount of EUR 488.4 is not safely payable today. However, EUR 134.09 can be paid today and the remaining amount can be paid on 2026-07-13 within the requested completion date."
request_190,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 2557.5 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_191,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 664.4 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_192,0,not_affordable,not_recommended,none,,none,"The requested amount of USD 2046 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
request_193,0,not_affordable,not_recommended,none,,none,"The requested amount of EUR 1212.2 cannot be safely paid under the available payment options. Optional spending changes were considered, but they do not produce a safe eligible plan."
